edad,ingreso_mensual,distancia_casa,anios_empresa,satisfaccion_laboral,nivel_cargo,horas_extra,num_empresas_previas,abandono
0.6190476190476188,0.3298233333333333,0.5714285714285714,0.6666666666666666,3,1,1,3,1
0.7380952380952379,0.2216929166666666,0.2857142857142857,0.1538461538461538,3,3,0,0,1
0.0,0.1895104166666666,0.1785714285714285,0.8461538461538461,2,2,1,5,1
0.5952380952380951,0.0497395833333333,0.8928571428571428,0.8717948717948718,3,3,1,0,0
0.0238095238095237,0.2038033333333333,0.3214285714285714,0.1538461538461538,2,3,1,6,0
0.119047619047619,0.15636625,0.3214285714285714,0.4871794871794871,4,2,0,1,0
0.9999999999999998,0.4339279166666666,0.5357142857142857,0.8461538461538461,3,1,1,4,0
0.0,0.1829679166666666,0.5357142857142857,0.3076923076923077,2,3,0,0,1
0.4761904761904761,0.3724370833333333,0.1071428571428571,0.1538461538461538,4,2,0,8,0
0.238095238095238,0.0,0.0357142857142857,0.7435897435897436,1,1,0,4,0
0.3333333333333333,0.1493420833333333,0.4285714285714285,0.8205128205128205,3,4,0,9,1
0.4761904761904761,0.3333675,0.7857142857142857,0.8974358974358974,4,1,0,8,0
0.4285714285714285,0.42152875,0.5,0.358974358974359,3,4,0,5,0
0.857142857142857,0.2145454166666666,0.5714285714285714,0.9487179487179488,3,1,0,1,0
0.2619047619047619,0.0,0.7142857142857143,0.358974358974359,2,3,0,9,1
0.4047619047619047,0.3973233333333333,0.8214285714285714,0.2564102564102564,4,2,0,8,0
0.0714285714285714,0.1521866666666666,0.3571428571428571,0.8717948717948718,3,1,1,5,0
0.0476190476190476,0.57737375,0.5,0.7435897435897436,3,2,0,5,0
0.0952380952380951,0.3224749999999999,0.2142857142857143,0.3076923076923077,1,1,1,4,0
0.6666666666666665,0.1295529166666666,0.5,0.8461538461538461,4,2,1,4,0
0.4523809523809524,0.0490270833333333,0.7857142857142857,0.2051282051282051,2,2,1,9,1
0.7380952380952379,0.3385670833333333,0.5714285714285714,0.3076923076923077,1,1,0,0,0
0.7142857142857142,0.4071741666666666,0.8571428571428571,0.2307692307692307,3,1,0,2,0
0.9047619047619048,0.1740666666666666,0.8928571428571428,0.4102564102564102,3,2,1,7,0
0.5238095238095237,0.1654925,0.0,0.1538461538461538,3,2,0,8,0
0.8095238095238095,0.2748729166666666,0.75,0.5128205128205128,2,2,0,6,0
0.3095238095238095,0.4630591666666666,0.6428571428571428,0.2051282051282051,3,3,0,1,0
0.9523809523809524,0.2808587499999999,1.0,0.1538461538461538,3,1,0,3,1
0.380952380952381,0.0761179166666666,0.6785714285714285,0.2564102564102564,1,4,0,4,1
0.119047619047619,0.0088783333333333,0.25,1.0,3,3,0,3,0
0.0952380952380951,0.5352979166666667,0.6071428571428571,0.4102564102564102,4,1,0,5,0
0.7619047619047619,0.2901504166666666,0.2857142857142857,0.3846153846153846,4,4,0,2,0
0.238095238095238,0.2243591666666666,0.0,0.6923076923076923,3,3,0,8,0
0.976190476190476,0.0928304166666666,0.8214285714285714,0.9487179487179488,3,1,0,9,0
0.380952380952381,0.0,0.25,0.6666666666666666,4,2,1,3,1
0.9285714285714284,0.47939,0.8571428571428571,1.0,4,2,0,3,0
0.5238095238095237,0.2997149999999999,0.5714285714285714,0.8205128205128205,1,3,1,7,0
0.6666666666666665,0.3063941666666666,0.2142857142857143,0.5384615384615384,4,5,1,0,1
0.0476190476190476,0.30360875,0.75,0.2307692307692307,3,1,1,3,1
0.9999999999999998,0.4113891666666666,0.9642857142857144,0.2307692307692307,2,5,0,5,0
0.0238095238095237,0.4843012499999999,0.8928571428571428,0.4358974358974359,4,3,0,1,0
0.5714285714285714,0.0,0.0357142857142857,0.7692307692307692,1,3,1,2,0
0.8333333333333333,0.3315937499999999,0.7142857142857143,0.3333333333333333,4,1,0,8,1
0.4761904761904761,0.0,0.0714285714285714,0.3333333333333333,3,5,0,5,0
